顧客ID,利用日,トレーニング時間,トレーナー利用
743,2022-05-12,0.7,はい
525,2022-08-09,1.8,はい
883,2022-12-15,1.0,はい
584,2022-10-17,0.6,いいえ
59,2022-03-24,1.8,いいえ
365,2022-09-20,1.3,いいえ
822,2022-02-25,1.7,いいえ
579,2022-04-07,0.6,はい
892,2022-08-18,1.8,いいえ
491,2022-02-20,1.5,はい
439,2022-09-23,0.6,いいえ
650,2022-03-02,0.8,いいえ
196,2022-01-08,1.6,はい
704,2022-09-16,1.3,いいえ
232,2022-06-11,1.9,はい
779,2022-03-25,1.7,はい
766,2022-08-12,0.5,いいえ
659,2022-05-23,1.1,はい
974,2022-10-10,1.0,はい
32,2022-07-03,1.8,いいえ
494,2022-10-02,1.7,はい
333,2022-06-23,0.6,はい
269,2022-09-20,1.7,いいえ
88,2022-11-17,1.8,いいえ
691,2022-05-09,1.0,はい
952,2022-01-06,1.8,はい
374,2022-06-27,1.4,いいえ
203,2022-03-21,1.7,いいえ
217,2023-01-01,0.6,はい
167,2022-03-06,0.6,いいえ
181,2022-11-18,1.7,はい
381,2022-12-26,1.1,いいえ
430,2022-07-05,1.6,いいえ
476,2022-09-08,0.9,いいえ
86,2022-05-28,1.9,はい
114,2022-09-10,1.2,いいえ
606,2022-08-07,0.9,はい
105,2022-04-15,1.8,はい
640,2022-09-13,0.9,はい
103,2022-04-03,1.3,はい
338,2022-11-22,1.1,はい
377,2022-07-14,0.6,はい
948,2022-10-09,1.2,はい
874,2022-06-19,0.8,いいえ
332,2022-03-04,1.3,はい
407,2022-02-11,0.8,はい
936,2022-08-09,1.2,いいえ
799,2022-05-29,1.6,はい
123,2022-03-31,1.0,いいえ
554,2022-09-10,0.8,はい
427,2022-08-11,0.8,いいえ
272,2022-11-25,1.7,いいえ
655,2022-02-02,1.2,いいえ
389,2022-03-08,1.7,はい
607,2022-06-18,0.7,いいえ
386,2022-09-02,0.7,はい
440,2022-06-22,1.8,いいえ
621,2022-05-02,0.8,はい
297,2022-05-05,1.8,はい
596,2022-07-25,0.9,はい
984,2022-01-01,1.1,はい
425,2022-03-02,1.5,はい
68,2022-05-22,1.2,いいえ
743,2022-02-18,1.3,はい
240,2022-02-16,0.9,いいえ
313,2022-12-31,1.6,はい
865,2022-05-02,1.1,いいえ
127,2022-06-15,1.6,はい
32,2022-03-07,0.9,いいえ
461,2022-04-03,1.4,はい
889,2022-06-22,1.6,はい
886,2022-05-25,1.9,いいえ
521,2022-07-22,1.2,はい
729,2022-02-22,1.6,いいえ
503,2022-02-28,0.9,はい
344,2022-07-21,1.0,いいえ
233,2022-06-04,1.7,いいえ
196,2022-08-08,1.7,いいえ
576,2022-12-09,1.6,いいえ
212,2022-07-09,1.3,はい
778,2022-07-30,1.1,いいえ
461,2022-04-30,1.5,いいえ
197,2022-04-04,1.9,はい
730,2022-11-24,1.8,いいえ
103,2022-06-22,1.8,はい
723,2022-04-01,1.5,はい
973,2022-11-27,0.8,はい
638,2022-01-01,1.5,はい
88,2022-08-01,0.6,はい
290,2022-01-31,0.8,いいえ
410,2022-04-04,1.2,はい
951,2022-08-16,1.9,いいえ
416,2022-03-21,1.9,いいえ
132,2022-08-27,0.6,はい
227,2022-06-01,1.9,はい
730,2022-10-16,0.5,いいえ
723,2022-03-04,1.1,いいえ
961,2022-07-18,1.5,はい
878,2022-09-07,1.9,はい
563,2022-06-23,1.2,はい
552,2022-09-20,1.5,いいえ
396,2022-07-14,1.6,いいえ
4,2022-01-15,1.1,いいえ
62,2022-04-08,0.9,いいえ
216,2022-12-19,1.3,いいえ
959,2022-04-07,0.9,いいえ
492,2022-04-29,0.8,いいえ
930,2022-08-01,1.6,いいえ
86,2022-06-15,1.5,いいえ
215,2022-12-03,1.5,はい
124,2022-06-10,2.0,いいえ
765,2022-05-24,0.8,いいえ
524,2022-11-10,0.7,はい
980,2022-09-23,1.0,はい
854,2022-02-26,1.3,いいえ
309,2022-02-24,1.4,はい
521,2022-07-19,1.1,はい
158,2022-06-30,0.8,いいえ
699,2022-05-21,1.7,はい
204,2022-02-07,0.9,はい
718,2022-02-22,0.6,はい
495,2022-11-07,1.6,いいえ
876,2022-02-15,1.8,はい
537,2022-05-29,1.1,はい
312,2022-09-08,1.9,はい
410,2022-07-22,1.0,いいえ
205,2022-05-25,0.9,はい
180,2022-02-10,1.7,いいえ
781,2022-03-08,1.4,はい
380,2022-07-27,1.8,いいえ
347,2022-08-06,0.5,いいえ
436,2022-12-17,0.9,いいえ
542,2022-04-18,0.5,いいえ
428,2022-09-11,1.6,はい
638,2022-09-17,1.7,はい
161,2022-08-18,1.8,はい
146,2022-06-01,1.8,いいえ
428,2022-10-03,1.3,はい
747,2022-08-02,1.8,はい
413,2022-03-07,0.9,いいえ
382,2022-06-18,0.7,いいえ
198,2022-05-18,1.4,いいえ
825,2022-12-05,0.8,いいえ
171,2022-08-16,1.8,はい
691,2022-12-05,1.3,いいえ
214,2022-04-27,1.5,はい
979,2022-02-26,1.9,はい
451,2022-05-10,1.3,いいえ
370,2022-02-23,1.1,はい
909,2022-09-26,1.3,はい
599,2022-01-09,1.9,はい
154,2022-07-25,1.5,いいえ
413,2022-12-25,2.0,いいえ
223,2022-11-29,1.9,はい
602,2023-01-01,1.2,はい
748,2022-03-15,0.9,いいえ
141,2022-06-29,0.5,はい
864,2022-10-13,1.8,いいえ
578,2022-10-17,1.0,いいえ
449,2022-12-29,0.5,はい
398,2022-04-14,0.9,いいえ
137,2022-02-09,0.5,いいえ
255,2022-02-17,1.6,いいえ
798,2022-03-21,1.4,はい
519,2022-04-04,1.7,いいえ
479,2022-09-01,1.5,いいえ
153,2022-12-07,1.0,いいえ
88,2022-04-14,1.7,いいえ
95,2022-07-24,0.5,いいえ
606,2022-07-20,0.6,いいえ
513,2022-09-12,0.6,はい
102,2022-03-18,0.8,いいえ
472,2022-03-24,1.5,いいえ
293,2022-12-30,1.5,はい
574,2022-03-22,0.8,いいえ
363,2022-03-09,1.1,はい
223,2022-08-12,1.3,いいえ
711,2022-07-01,1.4,はい
844,2022-05-03,1.0,いいえ
807,2022-01-19,0.8,いいえ
69,2022-04-09,0.9,いいえ
397,2022-10-20,1.8,いいえ
353,2022-11-22,1.0,いいえ
244,2022-12-16,0.6,いいえ
860,2022-10-29,1.2,いいえ
200,2022-07-15,0.6,はい
157,2022-09-29,1.0,はい
383,2022-06-28,1.8,はい
705,2022-12-06,1.3,はい
735,2022-12-29,1.2,はい
352,2022-12-09,0.8,いいえ
213,2022-09-11,1.7,いいえ
646,2022-02-18,2.0,いいえ
698,2022-05-22,2.0,はい
631,2022-03-20,0.9,はい
921,2022-08-17,1.9,いいえ
126,2022-08-06,1.4,いいえ
151,2022-10-07,1.4,いいえ
915,2022-01-18,0.5,いいえ
61,2022-05-23,0.5,はい
535,2022-10-21,0.7,はい
750,2022-08-22,1.8,いいえ
105,2022-06-27,1.5,いいえ
477,2022-05-08,1.6,いいえ
198,2022-10-29,0.8,いいえ
292,2022-10-08,1.8,いいえ
740,2022-04-06,0.6,はい
690,2022-06-19,1.8,いいえ
682,2022-06-12,1.4,はい
235,2022-09-24,0.8,はい
562,2022-06-10,1.7,はい
159,2022-12-15,1.4,はい
242,2022-09-28,0.7,はい
142,2022-05-09,1.7,はい
327,2022-07-30,1.3,いいえ
198,2022-07-13,1.1,はい
92,2022-11-28,1.1,いいえ
73,2022-06-08,1.7,いいえ
199,2022-05-15,1.6,いいえ
746,2022-03-18,1.0,いいえ
63,2022-06-24,0.8,はい
900,2022-06-21,1.5,いいえ
565,2022-04-18,1.1,はい
182,2022-12-19,1.9,いいえ
972,2022-10-21,1.6,いいえ
845,2022-06-24,1.1,いいえ
298,2022-02-13,1.6,はい
544,2022-06-11,1.9,はい
942,2022-11-02,0.9,いいえ
641,2022-02-25,1.8,いいえ
231,2022-04-14,1.8,いいえ
638,2022-01-22,1.7,いいえ
971,2022-12-10,1.3,はい
635,2022-03-10,1.7,いいえ
151,2022-03-30,0.7,いいえ
771,2022-06-11,1.8,いいえ
222,2022-05-25,1.4,はい
591,2022-01-13,1.6,いいえ
508,2022-09-22,1.4,はい
654,2022-10-24,1.8,いいえ
841,2022-04-07,1.9,はい
197,2022-12-07,1.8,はい
560,2022-11-26,1.3,いいえ
266,2022-02-18,1.3,はい
122,2022-08-05,0.7,いいえ
542,2022-01-08,1.4,いいえ
11,2022-02-17,1.5,いいえ
206,2022-11-14,0.9,いいえ
905,2022-08-28,1.9,いいえ
356,2022-05-20,1.7,はい
795,2022-05-27,1.0,いいえ
755,2022-06-08,1.2,いいえ
378,2022-03-26,0.6,いいえ
119,2022-03-12,1.7,はい
775,2022-06-27,0.7,いいえ
783,2022-06-21,0.5,はい
684,2022-09-08,0.9,はい
471,2022-03-11,1.1,いいえ
562,2022-04-23,1.9,はい
999,2022-08-29,1.3,いいえ
265,2022-06-11,1.0,はい
233,2022-03-20,1.8,いいえ
963,2022-03-24,0.7,はい
973,2022-01-31,1.0,はい
484,2022-09-25,0.5,はい
932,2022-06-28,0.9,はい
750,2022-03-06,1.3,はい
906,2022-10-05,1.8,いいえ
575,2022-06-11,1.0,はい
368,2022-10-19,1.2,はい
456,2022-08-19,0.6,はい
120,2022-01-01,1.8,いいえ
499,2022-11-15,1.4,はい
851,2022-05-29,1.0,はい
182,2022-11-05,0.9,はい
902,2022-11-01,0.7,いいえ
82,2022-03-18,0.8,いいえ
627,2022-05-17,1.1,いいえ
189,2022-03-18,1.3,はい
692,2022-11-15,1.2,はい
636,2022-03-08,1.1,いいえ
889,2022-06-30,0.9,はい
254,2022-11-19,0.7,はい
533,2022-06-21,1.4,いいえ
846,2022-10-24,2.0,はい
398,2022-11-04,1.5,いいえ
546,2022-10-13,1.5,はい
656,2022-08-13,1.2,いいえ
541,2022-06-13,2.0,いいえ
719,2022-07-12,1.0,いいえ
759,2022-10-25,1.3,はい
661,2022-02-07,1.7,はい
875,2022-07-19,1.1,はい
24,2022-08-30,0.9,いいえ
737,2022-03-02,1.9,いいえ
855,2022-09-06,1.3,はい
66,2022-05-13,0.5,いいえ
877,2022-02-05,1.2,はい
632,2022-04-29,0.7,いいえ
77,2022-11-07,1.6,はい
325,2022-09-13,1.0,はい
857,2022-02-27,0.7,はい
487,2022-02-08,0.7,はい
191,2022-10-30,1.8,はい
703,2022-10-16,0.6,いいえ
13,2022-07-25,1.2,いいえ
574,2022-01-10,0.8,はい
135,2022-02-21,0.6,いいえ
365,2022-12-28,1.9,はい
353,2022-03-11,1.6,いいえ
981,2022-02-21,1.0,いいえ
417,2022-02-10,1.6,はい
761,2022-12-03,0.8,いいえ
262,2022-05-25,1.4,はい
447,2022-04-09,1.9,はい
813,2022-06-01,1.0,いいえ
691,2022-12-19,1.9,はい
682,2022-06-29,1.8,いいえ
163,2022-09-09,1.3,いいえ
763,2022-06-28,0.8,いいえ
221,2022-10-19,1.7,はい
476,2022-09-18,0.9,はい
136,2022-01-27,1.3,はい
167,2022-10-27,1.5,はい
663,2022-11-24,1.0,はい
293,2022-09-16,1.0,はい
547,2022-07-08,1.1,いいえ
889,2022-06-16,0.7,いいえ
781,2022-06-10,1.6,いいえ
372,2022-01-25,1.7,いいえ
951,2022-06-26,0.7,いいえ
903,2022-09-11,1.8,いいえ
855,2022-09-05,1.9,はい
393,2022-11-09,1.0,いいえ
280,2022-03-06,0.6,いいえ
205,2022-04-09,1.5,いいえ
582,2022-06-03,1.3,いいえ
729,2022-02-23,1.3,いいえ
861,2022-09-09,0.9,はい
467,2022-02-16,2.0,いいえ
465,2022-05-01,0.7,はい
4,2022-12-16,1.8,はい
471,2022-03-01,1.7,いいえ
667,2022-04-22,1.0,はい
123,2022-05-20,0.9,はい
286,2022-08-21,0.5,はい
710,2022-09-10,1.5,はい
350,2022-11-01,1.5,はい
370,2022-03-09,1.7,いいえ
732,2022-08-31,2.0,いいえ
912,2022-09-14,1.5,はい
369,2022-04-06,1.6,はい
451,2022-08-29,1.7,いいえ
215,2022-04-28,1.2,はい
229,2022-06-16,1.6,いいえ
302,2022-02-04,0.5,いいえ
304,2022-08-31,1.9,いいえ
737,2022-04-21,1.7,いいえ
878,2022-12-07,1.0,はい
469,2022-01-13,0.8,いいえ
960,2022-06-22,1.0,いいえ
602,2022-02-18,1.5,いいえ
617,2022-01-28,1.5,はい
673,2022-04-27,1.5,いいえ
447,2022-06-06,1.8,はい
662,2022-10-12,1.4,いいえ
896,2022-07-12,0.8,はい
280,2022-07-27,0.5,はい
594,2022-03-09,1.5,いいえ
556,2022-11-21,1.3,はい
709,2022-12-03,0.7,いいえ
320,2022-12-09,1.8,はい
934,2022-08-23,1.4,いいえ
706,2022-01-23,1.9,はい
194,2022-01-04,0.8,いいえ
32,2022-04-24,1.7,いいえ
193,2022-04-24,0.9,はい
869,2022-04-18,0.9,はい
60,2022-01-01,0.6,いいえ
499,2022-10-31,1.4,いいえ
403,2022-01-09,1.4,いいえ
967,2022-03-24,1.1,いいえ
827,2022-06-10,0.8,いいえ
137,2022-11-18,1.6,はい
751,2022-05-12,1.3,はい
212,2022-07-16,0.8,はい
116,2022-02-25,0.6,いいえ
755,2022-06-14,0.7,はい
3,2022-04-30,1.8,いいえ
76,2022-06-10,1.4,はい
931,2022-06-02,0.6,はい
306,2022-12-06,1.9,いいえ
52,2022-11-07,1.8,いいえ
601,2022-05-08,1.5,いいえ
801,2022-12-11,1.9,いいえ
674,2022-05-21,1.3,はい
461,2022-02-16,1.9,いいえ
980,2022-01-06,1.8,はい
950,2022-03-20,1.2,はい
375,2022-03-04,1.9,いいえ
308,2022-10-20,0.9,はい
671,2022-01-14,1.9,いいえ
557,2022-11-21,1.8,いいえ
470,2022-02-27,1.2,いいえ
387,2022-08-27,1.6,いいえ
571,2022-03-30,1.3,はい
535,2022-07-28,1.3,いいえ
245,2022-12-23,1.9,いいえ
919,2022-11-02,0.9,はい
19,2022-11-11,1.5,いいえ
605,2022-03-01,1.2,いいえ
872,2022-08-12,1.6,いいえ
45,2022-05-12,1.4,はい
770,2022-09-27,0.9,はい
297,2022-10-22,1.7,はい
976,2022-08-20,1.5,はい
437,2022-12-27,1.8,はい
739,2022-06-25,1.5,はい
314,2022-12-26,1.6,はい
23,2022-05-07,0.6,はい
251,2022-12-08,1.1,はい
738,2022-05-17,0.6,いいえ
625,2022-11-13,1.6,いいえ
80,2022-02-10,0.9,はい
856,2022-10-31,1.2,はい
55,2022-03-16,1.1,はい
850,2022-12-09,1.7,いいえ
6,2022-02-12,1.1,はい
341,2022-09-25,1.5,はい
753,2022-07-14,1.5,はい
410,2022-07-12,1.5,いいえ
290,2022-01-25,0.5,はい
835,2022-07-05,1.6,はい
60,2022-09-12,1.7,はい
434,2022-03-17,1.2,いいえ
81,2022-07-20,0.6,いいえ
403,2022-08-26,1.2,はい
179,2022-09-09,0.6,いいえ
257,2022-10-02,0.8,はい
750,2022-01-02,1.5,はい
713,2022-03-01,0.5,はい
101,2022-06-26,1.3,はい
416,2022-03-29,1.6,いいえ
673,2022-09-16,1.5,はい
453,2022-09-27,1.7,いいえ
951,2022-09-24,1.4,いいえ
358,2022-03-29,0.6,はい
482,2022-12-02,1.0,いいえ
32,2022-03-27,1.6,はい
759,2022-07-05,0.7,いいえ
580,2022-12-03,0.7,いいえ
808,2022-05-10,0.7,いいえ
979,2022-10-02,1.0,はい
299,2022-11-19,0.8,いいえ
354,2022-07-30,1.6,はい
440,2022-10-01,1.3,はい
426,2022-09-19,0.9,いいえ
205,2022-06-27,0.8,はい
742,2022-05-18,1.8,はい
172,2022-06-28,1.3,いいえ
289,2022-05-20,0.8,はい
6,2022-12-30,0.8,いいえ
812,2022-05-16,1.5,いいえ
697,2022-04-26,0.9,いいえ
546,2023-01-01,1.0,はい
265,2022-04-30,1.4,はい
347,2022-09-02,1.5,いいえ
555,2022-02-13,0.7,はい
698,2022-05-20,0.6,はい
19,2022-07-23,1.8,いいえ
896,2022-09-22,1.2,いいえ
520,2022-01-30,1.4,いいえ
936,2022-01-31,0.6,はい
431,2022-02-19,0.6,はい
815,2022-03-22,1.1,いいえ
585,2022-05-12,0.8,はい
335,2022-11-02,0.7,いいえ
556,2022-10-08,1.8,はい
506,2022-03-10,1.3,はい
757,2022-06-17,0.6,はい
288,2022-08-26,2.0,いいえ
902,2022-01-22,0.9,はい
473,2022-06-24,0.8,はい
741,2022-02-06,0.5,いいえ
95,2022-12-30,1.4,はい
655,2022-05-26,2.0,いいえ
107,2022-06-03,1.4,はい
889,2022-08-09,0.8,いいえ
476,2022-05-01,0.7,はい
522,2022-11-26,1.6,いいえ
951,2022-02-09,1.7,いいえ
527,2022-06-05,1.4,いいえ
723,2022-02-17,0.9,はい
932,2022-08-02,1.6,はい
901,2022-10-18,0.5,いいえ
688,2022-06-06,0.9,はい
201,2022-07-03,1.0,はい
128,2022-02-11,1.4,はい
946,2022-05-13,0.7,いいえ
594,2022-08-09,1.4,はい
357,2022-04-09,1.4,はい
330,2022-07-07,1.6,いいえ
169,2022-09-16,1.5,はい
609,2022-09-07,1.6,いいえ
959,2022-09-26,0.7,はい
219,2022-06-19,0.9,はい
182,2022-10-06,0.9,はい
477,2022-10-12,1.4,いいえ
122,2022-09-27,0.8,はい
528,2022-09-25,1.6,いいえ
216,2022-10-20,1.5,はい
383,2022-06-03,1.3,いいえ
58,2022-07-17,0.6,いいえ
543,2022-05-04,1.6,いいえ
683,2022-03-08,1.0,はい
513,2022-06-22,1.5,はい
143,2022-07-16,1.5,いいえ
49,2022-05-11,1.0,いいえ
463,2022-02-23,1.6,いいえ
626,2022-01-14,1.9,はい
971,2022-11-05,1.6,はい
943,2022-10-10,1.5,いいえ
497,2022-12-16,1.8,いいえ
349,2022-01-02,0.8,はい
981,2022-09-30,1.0,いいえ
629,2022-01-23,1.6,はい
687,2022-06-08,1.7,いいえ
579,2022-09-13,0.9,はい
164,2022-01-26,0.8,はい
629,2022-01-07,0.7,いいえ
646,2022-09-05,0.6,いいえ
401,2022-05-14,2.0,いいえ
849,2022-01-19,1.7,はい
29,2022-10-31,0.6,はい
294,2022-05-17,1.1,いいえ
927,2022-05-27,0.6,はい
701,2022-11-16,0.9,いいえ
160,2022-01-27,1.1,いいえ
447,2022-06-01,1.7,はい
699,2022-08-09,1.9,はい
724,2022-05-25,2.0,はい
797,2022-10-05,1.3,いいえ
140,2022-11-10,1.8,はい
231,2022-09-25,1.7,はい
550,2022-05-01,1.7,はい
849,2022-06-19,1.5,はい
511,2022-08-18,1.7,はい
354,2022-08-04,1.9,いいえ
784,2022-06-01,1.6,はい
824,2022-02-25,1.3,いいえ
712,2022-10-10,1.4,はい
922,2022-03-11,1.1,はい
304,2022-02-07,0.7,いいえ
221,2022-06-18,1.8,いいえ
212,2022-12-11,1.6,いいえ
811,2022-10-31,1.9,いいえ
906,2022-05-13,1.4,はい
609,2022-07-08,0.6,はい
492,2022-12-22,1.5,いいえ
401,2022-09-16,0.6,はい
619,2022-03-24,1.5,はい
282,2022-07-04,1.9,いいえ
858,2022-04-23,1.9,いいえ
165,2022-06-03,1.8,はい
952,2022-12-02,1.8,いいえ
631,2022-10-29,0.7,いいえ
11,2022-08-05,1.4,いいえ
379,2022-05-28,0.8,はい
849,2022-07-05,1.3,いいえ
159,2022-08-08,1.9,いいえ
715,2022-10-06,1.1,いいえ
85,2022-10-05,0.6,いいえ
552,2022-10-28,1.3,いいえ
697,2022-09-05,1.3,いいえ
10,2022-09-08,1.6,はい
384,2022-02-18,0.7,いいえ
694,2022-02-27,1.6,はい
14,2022-02-20,1.4,はい
522,2022-11-24,1.8,はい
614,2022-01-15,0.9,いいえ
722,2022-04-11,0.6,はい
297,2022-04-13,1.3,はい
200,2022-11-03,1.0,はい
643,2022-05-12,1.6,いいえ
305,2022-04-04,1.2,いいえ
243,2022-08-27,0.6,いいえ
33,2022-07-26,1.8,はい
182,2022-07-26,0.6,いいえ
713,2022-12-07,0.8,いいえ
319,2022-10-17,1.1,はい
949,2022-12-21,2.0,いいえ
624,2022-11-10,1.3,はい
59,2022-02-04,1.5,はい
956,2022-03-07,1.0,はい
543,2022-10-30,1.6,いいえ
170,2022-04-18,0.7,いいえ
439,2022-08-26,0.7,いいえ
534,2022-05-31,1.1,はい
878,2022-03-12,0.9,はい
950,2022-01-30,1.1,はい
500,2022-04-09,1.0,いいえ
14,2022-10-06,1.0,いいえ
395,2022-11-17,1.4,はい
54,2022-02-22,1.5,はい
362,2022-01-12,1.2,いいえ
600,2022-10-10,1.4,いいえ
507,2022-02-19,0.6,はい
426,2022-11-30,0.7,いいえ
198,2022-06-28,0.6,いいえ
907,2022-10-26,1.6,いいえ
190,2022-05-24,1.6,いいえ
720,2022-04-24,1.8,はい
448,2022-07-17,1.3,はい
949,2022-07-21,0.6,はい
867,2022-10-05,1.9,はい
867,2022-09-03,1.2,いいえ
883,2022-06-04,1.8,いいえ
365,2022-10-04,1.9,はい
180,2022-12-28,1.4,いいえ
492,2022-05-17,1.4,はい
429,2022-10-25,1.0,はい
39,2022-03-18,0.6,いいえ
630,2022-02-20,0.6,はい
60,2022-01-10,0.5,いいえ
141,2022-09-02,1.9,いいえ
481,2022-10-27,1.2,いいえ
286,2022-05-01,1.1,はい
375,2022-02-16,1.2,いいえ
56,2022-02-23,1.4,はい
720,2022-10-24,1.4,はい
604,2022-12-29,0.5,いいえ
123,2022-10-27,1.7,いいえ
239,2022-11-23,1.8,はい
503,2022-04-19,1.7,いいえ
963,2022-01-04,1.5,いいえ
786,2022-06-09,0.6,いいえ
171,2022-09-24,1.6,はい
977,2022-07-19,1.1,いいえ
810,2022-07-22,1.6,いいえ
973,2022-07-16,0.9,はい
327,2022-10-16,1.2,はい
410,2022-04-14,1.9,いいえ
625,2022-06-13,1.1,いいえ
282,2022-01-06,0.7,はい
951,2022-11-25,1.6,はい
649,2022-11-11,1.3,いいえ
375,2022-05-03,2.0,いいえ
440,2022-10-29,1.1,いいえ
906,2022-03-25,1.1,はい
636,2022-06-07,1.0,はい
174,2022-02-13,1.5,はい
677,2022-11-10,0.5,はい
186,2022-12-22,0.7,はい
28,2022-10-07,1.4,いいえ
970,2022-07-10,1.1,はい
672,2022-06-18,0.8,はい
718,2022-09-19,1.5,いいえ
962,2022-08-23,1.0,いいえ
137,2022-08-20,1.6,いいえ
184,2022-02-07,1.2,はい
864,2022-09-22,1.2,はい
366,2022-01-08,2.0,いいえ
637,2022-05-05,0.9,はい
621,2022-04-03,0.6,はい
174,2022-02-09,1.7,はい
516,2022-09-12,1.7,いいえ
733,2022-01-23,0.9,いいえ
308,2022-08-18,1.0,いいえ
210,2022-08-20,1.4,いいえ
558,2022-08-14,1.8,はい
864,2022-04-05,0.8,はい
576,2022-04-06,0.9,いいえ
243,2022-01-07,0.6,はい
814,2022-08-23,1.0,はい
440,2022-01-23,1.8,はい
635,2022-09-26,0.5,いいえ
145,2022-02-17,1.0,いいえ
100,2022-05-04,1.1,はい
4,2022-02-02,1.4,いいえ
951,2022-09-10,1.7,いいえ
868,2022-05-23,1.7,はい
443,2022-04-22,0.8,はい
972,2022-05-03,1.3,はい
422,2022-12-31,0.5,はい
742,2022-10-29,1.9,いいえ
3,2022-10-29,0.6,はい
256,2022-08-12,0.8,はい
767,2022-11-28,1.1,いいえ
483,2022-02-06,1.3,いいえ
500,2022-12-29,0.9,いいえ
73,2022-06-02,0.7,いいえ
315,2022-05-28,0.8,いいえ
661,2022-05-06,1.6,はい
529,2022-04-23,1.7,はい
651,2022-10-24,1.7,いいえ
949,2022-07-13,2.0,はい
322,2022-11-16,0.9,いいえ
650,2022-05-12,1.0,いいえ
173,2022-11-14,1.3,いいえ
312,2022-01-08,1.4,はい
483,2022-05-28,1.8,いいえ
901,2022-04-20,1.1,いいえ
674,2022-04-17,1.9,はい
909,2022-12-04,1.2,いいえ
487,2022-08-14,1.7,いいえ
948,2022-10-06,0.8,いいえ
928,2022-06-27,0.7,はい
415,2022-12-20,0.7,いいえ
333,2022-05-12,1.1,はい
270,2022-10-10,1.4,はい
116,2022-05-21,1.4,はい
901,2022-04-29,1.0,はい
974,2022-01-11,0.8,はい
473,2022-11-08,1.8,いいえ
547,2022-05-21,1.8,はい
416,2022-07-17,0.7,いいえ
545,2022-12-20,1.6,はい
170,2022-04-12,1.2,はい
825,2022-07-26,1.2,はい
677,2022-02-11,0.7,はい
256,2022-06-02,0.8,はい
354,2022-02-25,1.8,いいえ
773,2022-01-31,1.8,はい
400,2022-12-15,0.7,はい
830,2022-05-14,1.5,はい
72,2022-12-21,1.9,はい
158,2022-04-23,1.4,はい
668,2022-08-05,1.0,いいえ
785,2022-04-07,1.0,いいえ
459,2022-03-31,1.5,はい
244,2022-08-19,1.1,はい
467,2022-07-08,1.8,いいえ
516,2022-10-28,1.1,はい
302,2022-05-29,0.8,はい
546,2022-10-07,1.0,いいえ
252,2022-06-28,1.1,はい
43,2022-10-01,1.4,はい
371,2022-02-25,1.2,いいえ
508,2022-02-19,1.0,いいえ
678,2022-02-23,0.7,はい
547,2022-07-06,1.3,いいえ
147,2022-08-25,0.7,いいえ
821,2022-08-17,1.5,はい
18,2022-10-23,1.6,はい
909,2022-10-24,1.5,はい
402,2022-05-01,1.8,はい
127,2022-05-25,1.4,いいえ
459,2022-05-20,1.9,いいえ
860,2022-04-29,0.9,はい
143,2022-01-21,1.1,いいえ
497,2022-01-14,1.6,いいえ
615,2022-06-17,1.6,はい
995,2022-01-13,0.9,いいえ
249,2022-11-19,1.8,いいえ
130,2022-12-05,0.8,はい
116,2022-03-23,1.9,はい
67,2022-07-29,2.0,いいえ
610,2022-05-06,1.0,はい
634,2022-08-04,1.1,はい
692,2022-06-12,1.5,はい
291,2022-03-08,0.8,いいえ
236,2022-10-09,1.3,いいえ
907,2022-05-16,0.6,はい
280,2022-11-03,1.3,いいえ
329,2022-04-03,1.7,はい
914,2022-12-15,1.8,いいえ
528,2022-06-18,1.1,いいえ
711,2022-12-05,1.9,はい
115,2022-11-15,1.9,いいえ
162,2022-08-03,0.6,はい
536,2022-03-13,1.3,はい
119,2022-05-27,1.7,いいえ
809,2022-06-01,1.9,はい
384,2022-03-10,2.0,はい
875,2022-08-26,0.9,はい
521,2022-05-28,1.8,はい
501,2022-05-11,1.5,はい
606,2022-06-16,1.8,いいえ
404,2022-03-18,0.7,はい
434,2022-11-09,1.3,いいえ
777,2022-08-04,0.7,いいえ
864,2022-07-01,1.2,はい
944,2022-03-28,1.9,いいえ
917,2022-08-10,0.6,いいえ
406,2022-05-30,1.6,はい
89,2022-11-30,1.2,いいえ
811,2022-12-31,1.3,いいえ
267,2022-06-08,1.2,はい
534,2022-12-06,0.9,はい
578,2022-09-24,1.8,いいえ
258,2022-07-03,0.7,はい
249,2022-05-17,0.8,いいえ
500,2022-01-27,1.8,はい
298,2022-07-09,1.4,いいえ
941,2022-06-14,0.9,いいえ
775,2022-01-30,0.8,はい
595,2022-08-16,1.9,はい
523,2022-01-23,0.6,はい
755,2022-12-10,0.5,いいえ
820,2022-08-18,1.1,はい
861,2022-03-26,0.7,はい
182,2022-09-21,1.8,はい
778,2022-08-31,1.5,はい
579,2022-08-17,0.9,はい
705,2022-07-11,1.2,いいえ
109,2022-05-31,0.8,はい
419,2022-09-06,1.1,いいえ
484,2022-04-12,0.6,はい
710,2022-12-27,0.7,いいえ
942,2022-06-17,0.7,いいえ
854,2022-10-17,1.7,はい
967,2022-06-25,1.6,いいえ
537,2022-03-16,1.4,はい
969,2022-01-07,1.7,はい
827,2022-10-22,1.1,はい
503,2022-06-01,0.6,いいえ
422,2022-02-27,0.9,いいえ
690,2022-12-14,1.4,いいえ
471,2022-01-10,0.5,はい
637,2022-03-28,1.5,はい
957,2022-05-08,1.5,はい
580,2022-04-07,1.0,はい
